Gene	sgRNA	E0_Low|beta	E0_Low|z	E0_Low|p-value	E0_Low|fdr	E0_Low|wald-p-value	E0_Low|wald-fdr	E0_High|beta	E0_High|z	E0_High|p-value	E0_High|fdr	E0_High|wald-p-value	E0_High|wald-fdr	E50_Low|beta	E50_Low|z	E50_Low|p-value	E50_Low|fdr	E50_Low|wald-p-value	E50_Low|wald-fdr	E50_High|beta	E50_High|z	E50_High|p-value	E50_High|fdr	E50_High|wald-p-value	E50_High|wald-fdr	E100_Low|beta	E100_Low|z	E100_Low|p-value	E100_Low|fdr	E100_Low|wald-p-value	E100_Low|wald-fdr	E100_High|beta	E100_High|z	E100_High|p-value	E100_High|fdr	E100_High|wald-p-value	E100_High|wald-fdr	EC100_Low|beta	EC100_Low|z	EC100_Low|p-value	EC100_Low|fdr	EC100_Low|wald-p-value	EC100_Low|wald-fdr	EC100_High|beta	EC100_High|z	EC100_High|p-value	EC100_High|fdr	EC100_High|wald-p-value	EC100_High|wald-fdr
CRY2_P1P2	5	-0.25348	-1.0473	0.1158	0.50504	0.29495	0.99092	-0.17601	-0.72796	0.2212	0.65191	0.46664	0.99985	0.0087945	0.036359	0.91684	0.98846	0.971	0.99846	-0.033907	-0.13922	0.77072	0.95697	0.88928	0.99956	-0.3149	-1.3002	0.045914	0.318	0.19353	0.99993	0.064618	0.26819	0.61854	0.90859	0.78855	1	-0.12494	-0.51587	0.35085	0.73503	0.60595	1	0.11262	0.46699	0.43315	0.81433	0.6405	0.9992
TXK_P1	5	0.092669	0.58484	0.66907	0.92424	0.55866	0.99959	-0.025441	-0.16054	0.86919	0.97921	0.87246	0.99985	-0.34617	-2.1826	0.087785	0.46483	0.029069	0.37702	-0.053547	-0.3373	0.6607	0.91597	0.73589	0.99956	-0.26314	-1.6599	0.084609	0.41655	0.096939	0.99993	0.14932	0.94255	0.27086	0.67371	0.34591	1	-0.043102	-0.27189	0.72625	0.93638	0.7857	1	0.039127	0.24693	0.79151	0.95474	0.80497	0.9992
PA2G4_P1P2	5	0.23224	1.1028	0.19954	0.65005	0.27013	0.99092	-0.25272	-1.192	0.084031	0.4156	0.23326	0.99985	0.00080494	0.0037982	0.89113	0.98836	0.99697	0.99936	-0.3601	-1.6759	0.014727	0.1875	0.093759	0.99956	-0.20132	-0.94981	0.18597	0.60469	0.34221	0.99993	-0.23947	-1.1321	0.079988	0.37534	0.25759	1	-0.06539	-0.30826	0.61045	0.89652	0.75789	1	-0.3157	-1.4876	0.033497	0.23673	0.13685	0.9992
ZNF35_P1P2	5	-0.0061258	-0.047342	0.85504	0.97199	0.96224	0.99959	0.058575	0.4527	0.71499	0.94528	0.65077	0.99985	0.10383	0.80238	0.73578	0.96705	0.42233	0.88443	0.02652	0.20486	0.9024	0.98723	0.83769	0.99956	-0.070676	-0.54619	0.6633	0.90467	0.58494	0.99993	0.025319	0.19568	0.82934	0.96995	0.84486	1	-0.054933	-0.4245	0.66445	0.91954	0.6712	1	0.0063081	0.048751	0.97719	0.99971	0.96112	0.9992
EAF2_P1P2	5	0.073278	0.58689	0.75917	0.95245	0.55728	0.99959	0.08538	0.68388	0.58706	0.89916	0.49405	0.99985	-0.042497	-0.34001	0.72827	0.96444	0.73385	0.96607	-0.033436	-0.26665	0.77361	0.95747	0.78974	0.99956	-0.089528	-0.71665	0.56021	0.85727	0.47359	0.99993	0.1038	0.83172	0.43142	0.80279	0.40557	1	-0.06626	-0.53008	0.60526	0.89573	0.59605	1	0.13209	1.0581	0.35951	0.77357	0.29	0.9992
FOXJ2_P1P2	5	-0.15513	-0.82276	0.28559	0.73171	0.41064	0.99959	-0.019135	-0.10163	0.89778	0.98608	0.91905	0.99985	-0.058106	-0.30787	0.67369	0.94911	0.75818	0.97136	-0.04188	-0.22012	0.72567	0.94438	0.82577	0.99956	-0.067765	-0.35965	0.67427	0.9075	0.71911	0.99993	0.12336	0.65649	0.3572	0.74698	0.51151	1	0.018734	0.099338	0.91626	0.98912	0.92087	1	0.2788	1.4838	0.050823	0.30769	0.13787	0.9992
ZNF790_P2	5	-0.056394	-0.37605	0.62922	0.91068	0.70688	0.99959	-0.0019776	-0.013189	0.9896	0.99884	0.98948	0.99985	-0.10796	-0.71965	0.51401	0.89228	0.47174	0.902	0.19847	1.3222	0.19203	0.63758	0.18611	0.99956	0.21058	1.4046	0.13052	0.52014	0.16015	0.99993	0.18461	1.2315	0.17355	0.56063	0.21812	1	-0.026662	-0.17775	0.81259	0.96436	0.85892	1	0.17208	1.1478	0.22582	0.6418	0.25107	0.9992
LAS1L_P1P2	5	0.40963	1.3731	0.019059	0.17098	0.16971	0.99092	-0.014224	-0.047583	0.92117	0.98915	0.96205	0.99985	0.74386	2.4948	0.00028877	0.0077519	0.012601	0.26609	0.047098	0.15642	0.79122	0.95938	0.8757	0.99956	0.43128	1.4458	0.0057753	0.084034	0.14824	0.99993	0.0907	0.30383	0.48542	0.84292	0.76126	1	0.53375	1.7886	0.0008663	0.012931	0.07368	1	0.10832	0.3626	0.45221	0.82464	0.7169	0.9992
NFE2L2_P2	5	-0.22242	-1.3644	0.15651	0.5785	0.17244	0.99092	-0.34654	-2.1243	0.022235	0.19794	0.033645	0.99985	-0.47564	-2.9067	0.026855	0.26197	0.0036523	0.15424	-0.22283	-1.3547	0.11695	0.51658	0.17553	0.99956	0.026746	0.1643	0.8149	0.95794	0.8695	0.99993	-0.25824	-1.5854	0.05862	0.32325	0.11287	1	0.18139	1.114	0.19983	0.62063	0.26527	1	0.10563	0.6492	0.46116	0.82945	0.51621	0.9992
MEOX2_P1P2	5	0.1602	1.3246	0.39965	0.82965	0.18531	0.99092	-0.063127	-0.52186	0.66272	0.92357	0.60177	0.99985	-0.071929	-0.5945	0.62056	0.92192	0.55218	0.92135	0.025112	0.20738	0.91019	0.98723	0.83571	0.99956	-0.041533	-0.34334	0.80999	0.95737	0.73134	0.99993	0.02481	0.20514	0.83194	0.97057	0.83747	1	0.038232	0.31603	0.80017	0.96061	0.75198	1	0.029665	0.24525	0.83742	0.96667	0.80626	0.9992
RFX7_P1P2	5	0.020764	0.083283	0.98874	0.99622	0.93363	0.99959	0.12362	0.49677	0.42882	0.8139	0.61935	0.99985	0.024752	0.098989	0.98152	0.99648	0.92115	0.99846	-0.046961	-0.18584	0.69737	0.93547	0.85257	0.99956	-0.12466	-0.49885	0.40572	0.78844	0.61789	0.99993	-0.078984	-0.31712	0.57667	0.88835	0.75115	1	-0.15492	-0.61796	0.24776	0.65701	0.5366	1	0.018933	0.075959	0.90413	0.98678	0.93945	0.9992
MYOCD_P1P2	5	0.11514	0.63286	0.56887	0.89019	0.52683	0.99959	-0.0055178	-0.030281	0.96535	0.99259	0.97584	0.99985	0.11847	0.64899	0.68727	0.95162	0.51634	0.91823	0.20188	1.0918	0.18366	0.62109	0.27492	0.99956	0.33297	1.8358	0.020502	0.19189	0.066388	0.99993	0.011574	0.063681	0.91424	0.98329	0.94922	1	-0.061375	-0.33505	0.63124	0.9048	0.73758	1	-0.017012	-0.093336	0.89778	0.98417	0.92564	0.9992
SETMAR_P1P2	5	-0.023981	-0.12586	0.77216	0.95426	0.89984	0.99959	0.27177	1.4292	0.094138	0.437	0.15295	0.99985	0.34788	1.8279	0.1389	0.57882	0.067566	0.4899	0.32813	1.7152	0.037828	0.31873	0.086303	0.99956	-0.12683	-0.66516	0.39474	0.78338	0.50595	0.99993	-0.001921	-0.010095	0.99769	0.99913	0.99195	1	0.14859	0.77976	0.28039	0.68344	0.43553	1	0.19447	1.0222	0.16691	0.5509	0.30667	0.9992
HDAC7_P1P2	5	-0.15439	-1.0649	0.28617	0.73191	0.28693	0.99092	-0.04329	-0.29862	0.76985	0.96212	0.76523	0.99985	-0.41656	-2.8723	0.04678	0.3469	0.0040748	0.16035	-0.26705	-1.8402	0.06324	0.39818	0.065745	0.99956	-0.030842	-0.21275	0.86774	0.97502	0.83152	0.99993	0.024285	0.16753	0.83627	0.97057	0.86695	1	-0.016355	-0.11281	0.88103	0.98664	0.91018	1	-0.062562	-0.43156	0.64857	0.90237	0.66606	0.9992
INO80D_P1P2	5	0.50723	2.1889	0.0046203	0.061069	0.028601	0.99092	0.029349	0.12615	0.85619	0.97855	0.89962	0.99985	0.070659	0.30302	0.85677	0.98836	0.76188	0.97136	-0.071911	-0.30361	0.57811	0.88982	0.76142	0.99956	0.12475	0.53655	0.3624	0.76162	0.59158	0.99993	0.016153	0.069522	0.8868	0.97772	0.94457	1	0.10979	0.47106	0.42016	0.78691	0.6376	1	-0.10017	-0.42986	0.47878	0.83577	0.66729	0.9992
NKX6-2_P1P2	5	0.19134	1.4033	0.29772	0.74764	0.16051	0.99092	-0.020753	-0.15216	0.88709	0.98084	0.87906	0.99985	0.36342	2.6653	0.12301	0.55759	0.0076919	0.22105	-0.013106	-0.095838	0.87843	0.98042	0.92365	0.99956	0.00041695	0.003057	0.95582	0.99113	0.99756	0.99993	-0.011134	-0.081657	0.95293	0.98921	0.93492	1	0.0048166	0.035301	0.99394	0.99681	0.97184	1	0.0056218	0.041221	0.98152	0.99971	0.96712	0.9992
NBN_P1P2	5	-0.27689	-1.2611	0.090384	0.45326	0.20726	0.99092	-0.097616	-0.44555	0.48946	0.84704	0.65593	0.99985	-0.30286	-1.3757	0.12937	0.56781	0.16892	0.68035	-0.026768	-0.1209	0.80739	0.96347	0.90377	0.99956	-0.33429	-1.5214	0.036385	0.28062	0.12816	0.99993	-0.13719	-0.62678	0.31851	0.71763	0.53081	1	-0.37595	-1.7061	0.010107	0.096685	0.087996	1	-0.23288	-1.0614	0.1132	0.46449	0.28851	0.9992
BRPF3_P1P2	5	0.28334	0.6493	0.10222	0.47709	0.51614	0.99959	-0.45943	-1.0364	0.0025989	0.038961	0.30001	0.99985	-0.40576	-0.9123	0.053422	0.37602	0.36161	0.85889	-0.29749	-0.66311	0.041871	0.32658	0.50726	0.99956	-0.19675	-0.44593	0.19578	0.61469	0.65565	0.99993	-0.45755	-1.0352	0.0008663	0.013453	0.30056	1	0.23197	0.52849	0.10049	0.44859	0.59716	1	-0.6811	-1.5301	0	0	0.12599	0.9992
PAXIP1_P1P2	5	-0.19259	-1.0099	0.20762	0.65963	0.31255	0.9918	-0.25885	-1.357	0.076812	0.40242	0.17479	0.99985	-0.21019	-1.1006	0.26336	0.74632	0.27105	0.79734	-0.17233	-0.89757	0.21571	0.66342	0.36942	0.99956	-0.34108	-1.7868	0.032342	0.25866	0.07397	0.99993	-0.32335	-1.6959	0.019347	0.17539	0.089906	1	-0.30351	-1.5883	0.035807	0.24603	0.11222	1	-0.33723	-1.767	0.02339	0.18535	0.07723	0.9992
NFIL3_P1P2	5	0.071481	0.49822	0.76841	0.95426	0.61833	0.99959	-0.21275	-1.4823	0.14236	0.54235	0.13827	0.99985	0.12731	0.88717	0.66012	0.94346	0.37499	0.86539	-0.082448	-0.57325	0.527	0.86166	0.56647	0.99956	-0.044394	-0.30937	0.79613	0.95102	0.75704	0.99993	-0.31645	-2.2049	0.022235	0.1925	0.027458	1	0.069679	0.48551	0.61681	0.8979	0.62731	1	-0.15996	-1.1145	0.27202	0.69881	0.26505	0.9992
SOX6_ENST00000352083.6,ENST00000396356.3	5	0.21641	1.2882	0.2313	0.68166	0.19768	0.99092	0.013613	0.081021	0.93676	0.98954	0.93543	0.99985	0.0039008	0.023212	0.90066	0.98836	0.98148	0.99846	0.0061673	0.036661	0.98845	0.9968	0.97075	0.99956	0.29591	1.7615	0.038695	0.28817	0.078149	0.99993	0.15321	0.91206	0.25816	0.66173	0.36174	1	0.087256	0.51926	0.52873	0.85242	0.60358	1	-0.0048492	-0.028861	0.96564	0.99881	0.97698	0.9992
INHBA_P1P2	5	-0.067664	-0.32886	0.5784	0.89151	0.74226	0.99959	-0.14354	-0.69714	0.32082	0.75406	0.48572	0.99985	0.27284	1.3285	0.2622	0.74426	0.184	0.70408	-0.2919	-1.3914	0.046203	0.33827	0.16412	0.99956	0.13636	0.66445	0.31562	0.73031	0.5064	0.99993	-0.2865	-1.3915	0.036673	0.24951	0.16408	1	-0.35308	-1.7028	0.015593	0.13268	0.088597	1	-0.066654	-0.32405	0.62893	0.89446	0.7459	0.9992
PSMA5_P1P2	5	-0.43617	-0.46744	0.012706	0.13095	0.64019	0.99959	1.4624	1.6243	0	0	0.10431	0.99985	-0.81796	-0.8581	0.00057753	0.014184	0.39084	0.8766	1.021	1.1129	0	0	0.26574	0.99956	-0.63339	-0.67388	0	0	0.50039	0.99993	0.60086	0.66278	0.0051978	0.064748	0.50747	1	-0.46675	-0.49616	0.0028877	0.033223	0.61978	1	1.3081	1.4513	0	0	0.14669	0.9992
SIN3B_P1P2	5	0.027589	0.14855	0.97805	0.99471	0.88191	0.99959	0.21983	1.1844	0.17499	0.59704	0.23626	0.99985	-0.053076	-0.28546	0.69015	0.95409	0.77529	0.97136	0.27047	1.4519	0.073347	0.41789	0.14653	0.99956	0.10712	0.57688	0.43055	0.80334	0.56402	0.99993	0.17509	0.94357	0.19492	0.58849	0.34539	1	0.19512	1.0505	0.16806	0.582	0.29351	1	-0.065258	-0.35128	0.63558	0.89768	0.72538	0.9992
EGR1_P2	5	0.00090362	0.0063509	0.8894	0.9753	0.99493	0.99959	0.15893	1.1175	0.31707	0.7536	0.26378	0.99985	-0.10005	-0.70253	0.53624	0.90024	0.48235	0.9084	-0.009819	-0.068788	0.89778	0.98667	0.94516	0.99956	0.20195	1.4201	0.14352	0.53963	0.15559	0.99993	0.080449	0.56575	0.54086	0.87182	0.57156	1	-0.063452	-0.44561	0.62316	0.90067	0.65588	1	0.054474	0.38293	0.71181	0.92742	0.70177	0.9992
CSTF3_P1P2	5	0.16307	0.8321	0.39128	0.82875	0.40535	0.99959	0.19944	1.0177	0.21282	0.64187	0.30882	0.99985	-0.21085	-1.0755	0.26133	0.74302	0.28214	0.79986	0.3751	1.9132	0.025411	0.2536	0.055729	0.99956	-0.052842	-0.26961	0.75224	0.93207	0.78746	0.99993	0.16668	0.85059	0.21946	0.62295	0.395	1	-0.19983	-1.0193	0.15449	0.56139	0.30805	1	0.17197	0.87753	0.22582	0.6418	0.3802	0.9992
ZMIZ1_P1P2	5	-0.33864	-2.156	0.042738	0.30266	0.031086	0.99092	-0.34992	-2.228	0.02108	0.1906	0.02588	0.99985	0.088755	0.56595	0.7918	0.97789	0.57143	0.92529	-0.36145	-2.2785	0.014438	0.18587	0.022694	0.99956	-0.12769	-0.81408	0.38984	0.7795	0.4156	0.99993	-0.26199	-1.6708	0.05631	0.31915	0.094763	1	-0.27068	-1.7214	0.05631	0.31863	0.085174	1	-0.18507	-1.1797	0.19954	0.60836	0.23811	0.9992
NR5A2_P1	5	-0.16045	-1.0856	0.27029	0.71439	0.27764	0.99092	-0.25925	-1.7531	0.076234	0.40242	0.079593	0.99985	-0.63645	-4.2794	0.0043315	0.071429	1.874e-05	0.0070525	-0.19967	-1.3389	0.15651	0.58342	0.18059	0.99956	-0.2017	-1.3642	0.18481	0.6032	0.17252	0.99993	-0.1367	-0.92621	0.32024	0.71798	0.35434	1	-0.10967	-0.74112	0.41034	0.77948	0.45862	1	-0.099005	-0.67028	0.48542	0.84092	0.50268	0.9992
ZNF658_ENST00000377626.3,ENST00000602553.1	5	0.12285	0.66764	0.54028	0.88341	0.50436	0.99959	0.1356	0.7371	0.38579	0.78774	0.46106	0.99985	0.24506	1.3311	0.32024	0.79328	0.18315	0.70159	0.025233	0.13572	0.90875	0.98723	0.89204	0.99956	0.10108	0.54921	0.45539	0.80459	0.58286	0.99993	0.14793	0.80484	0.27433	0.67371	0.42091	1	0.24162	1.3124	0.086053	0.41504	0.18938	1	0.035727	0.19407	0.80364	0.95932	0.84612	0.9992
RRP8_P1P2	5	0.09335	0.41753	0.66561	0.92348	0.67629	0.99959	-0.022453	-0.10026	0.88045	0.98011	0.92014	0.99985	-0.01795	-0.079831	0.81923	0.98603	0.93637	0.99846	0.05705	0.25071	0.73953	0.94922	0.80204	0.99956	-0.22358	-0.99406	0.14438	0.54113	0.32019	0.99993	0.017221	0.07715	0.87785	0.9753	0.9385	1	0.061014	0.27175	0.66994	0.91954	0.78582	1	-0.21396	-0.95199	0.13745	0.49791	0.3411	0.9992
UBB_P1P2	5	0.19827	0.89473	0.27722	0.7191	0.37093	0.99959	-0.11179	-0.50264	0.43315	0.81665	0.61521	0.99985	0.079677	0.35812	0.82558	0.98603	0.72025	0.96362	0.032058	0.14295	0.86774	0.97982	0.88633	0.99956	0.051245	0.23079	0.68207	0.91021	0.81748	0.99993	-0.062135	-0.28006	0.6659	0.92536	0.77943	1	-0.059521	-0.26709	0.64222	0.9141	0.7894	1	-0.19452	-0.87377	0.17817	0.57327	0.38225	0.9992
SETD3_P1P2	5	0.20946	0.82549	0.24805	0.69565	0.40909	0.99959	-0.14968	-0.58821	0.29887	0.73352	0.55639	0.99985	-0.14673	-0.57557	0.40687	0.8488	0.56491	0.92408	0.13355	0.52239	0.38233	0.79567	0.6014	0.99956	0.02057	0.080931	0.8484	0.96996	0.9355	0.99993	0.048743	0.19211	0.69477	0.93367	0.84766	1	-0.061244	-0.24041	0.6324	0.90608	0.81001	1	-0.48797	-1.9123	0.0014438	0.019685	0.055838	0.9992
PTCH1_P1P2	5	0.13759	0.28989	0.47935	0.86331	0.7719	0.99959	0.28606	0.60404	0.083165	0.41499	0.54581	0.99985	-0.081549	-0.17087	0.59168	0.91887	0.86433	0.98979	0.23198	0.48356	0.12128	0.52566	0.6287	0.99956	0.13785	0.2904	0.31042	0.72537	0.77151	0.99993	0.14608	0.30848	0.27808	0.67484	0.75772	1	0.034489	0.072377	0.8201	0.96829	0.9423	1	0.14909	0.31424	0.29627	0.7214	0.75334	0.9992
ZZZ3_P1P2	5	-0.081992	-0.3345	0.52353	0.88095	0.738	0.99959	0.062015	0.25381	0.69824	0.94232	0.79964	0.99985	-0.24022	-0.97316	0.20907	0.69084	0.33047	0.83828	0.039286	0.15786	0.83136	0.97501	0.87457	0.99956	-0.13964	-0.56894	0.34941	0.75217	0.5694	0.99993	0.034913	0.1432	0.77967	0.95782	0.88614	1	0.013897	0.056583	0.94282	0.98912	0.95488	1	0.13466	0.55183	0.35172	0.77155	0.58107	0.9992
POLR3GL_P1P2	5	-0.091302	-0.3262	0.49119	0.87045	0.74427	0.99959	-0.058204	-0.20815	0.69275	0.93968	0.83511	0.99985	-0.20514	-0.72888	0.27375	0.75178	0.46607	0.8998	-0.016826	-0.05925	0.85966	0.97982	0.95275	0.99956	-0.11597	-0.4141	0.44355	0.80459	0.6788	0.99993	-0.11417	-0.4089	0.40774	0.78357	0.68261	1	-0.22178	-0.7878	0.1132	0.48276	0.43081	1	-0.13488	-0.48169	0.35403	0.77155	0.63003	0.9992
ZSCAN5D_ENST00000600684.1	5	0.028694	0.15565	0.97372	0.99264	0.87631	0.99959	-0.16392	-0.88639	0.25989	0.69419	0.37541	0.99985	0.070002	0.37859	0.85793	0.98836	0.70499	0.96307	0.06365	0.33863	0.70517	0.93781	0.73489	0.99956	0.0020971	0.011368	0.94485	0.98824	0.99093	0.99993	0.27552	1.5042	0.060352	0.3281	0.13252	1	0.091422	0.49465	0.50736	0.8401	0.62084	1	0.059915	0.32532	0.68322	0.9167	0.74494	0.9992
PYGO2_P1P2	5	0.14344	0.76266	0.46029	0.85423	0.44567	0.99959	0.041667	0.22132	0.79671	0.97389	0.82485	0.99985	-0.086475	-0.45677	0.57667	0.91564	0.64783	0.94705	-0.19714	-1.0234	0.16171	0.59554	0.30611	0.99956	0.063758	0.3386	0.62431	0.88907	0.73491	0.99993	-0.10005	-0.53141	0.47242	0.83046	0.59513	1	0.061208	0.32412	0.66821	0.91954	0.74585	1	-0.080098	-0.42467	0.56887	0.87307	0.67108	0.9992
SF3A2_P2	5	0.080139	0.41723	0.72943	0.94268	0.67651	0.99959	0.30078	1.5749	0.071614	0.39117	0.11527	0.99985	0.16366	0.8494	0.53711	0.90024	0.39566	0.87944	0.06318	0.31927	0.70748	0.93834	0.74952	0.99956	0.11839	0.61682	0.38781	0.7795	0.53735	0.99993	0.073281	0.38301	0.57378	0.88666	0.70171	1	0.16433	0.8529	0.23679	0.65339	0.39372	1	0.23942	1.2518	0.088363	0.40395	0.21063	0.9992
ANP32E_P1P2	5	-0.31586	-2.3355	0.052556	0.34146	0.019517	0.99092	-0.056621	-0.41932	0.69968	0.94317	0.67498	0.99985	-0.37122	-2.7402	0.071903	0.42637	0.0061395	0.19686	-0.1483	-1.0908	0.27924	0.71683	0.27535	0.99956	-0.29817	-2.2049	0.056021	0.35	0.027464	0.99993	-0.038823	-0.28773	0.79209	0.95812	0.77355	1	-0.22021	-1.6272	0.11464	0.48356	0.1037	1	-0.26738	-1.9778	0.068438	0.35556	0.047946	0.9992
SPIB_P1P2	5	0.25419	1.161	0.15218	0.57407	0.24563	0.99092	0.14391	0.65636	0.36183	0.78067	0.5116	0.99985	0.12171	0.5526	0.67745	0.94911	0.58054	0.9289	0.23046	1.0332	0.12446	0.5354	0.3015	0.99956	0.19707	0.89911	0.1568	0.56269	0.36859	0.99993	0.21879	1.0014	0.11089	0.44599	0.31663	1	0.21684	0.98631	0.1233	0.50058	0.32398	1	0.35122	1.6071	0.010107	0.095109	0.10802	0.9992
CDCA8_P1P2	5	-0.41504	-0.93669	0.017326	0.16	0.34892	0.99959	-0.68036	-1.5227	0	0	0.12783	0.99985	-0.55028	-1.2272	0.012706	0.16423	0.21976	0.74125	-0.55362	-1.1989	0	0	0.23056	0.99956	-0.8572	-1.9029	0	0	0.057051	0.99993	-0.21293	-0.48586	0.1158	0.45516	0.62707	1	-0.28454	-0.64069	0.046203	0.29091	0.52172	1	-0.94914	-2.1017	0	0	0.035579	0.9992
HELZ2_P2	5	-0.15271	-1.1104	0.29108	0.74063	0.26681	0.99092	-0.13874	-1.009	0.33699	0.75485	0.31297	0.99985	-0.17379	-1.2621	0.34075	0.79867	0.2069	0.72521	-0.037628	-0.2721	0.7482	0.95118	0.78554	0.99956	0.034738	0.2528	0.76465	0.93909	0.80042	0.99993	-0.13809	-1.005	0.3136	0.7126	0.31491	1	-0.17199	-1.2491	0.21051	0.63589	0.21164	1	-0.029046	-0.21135	0.82732	0.96401	0.83262	0.9992
TCF25_P1P2	5	-0.29097	-2.0413	0.076812	0.43134	0.041217	0.99092	-0.10722	-0.75225	0.45048	0.82847	0.4519	0.99985	-0.54977	-3.8562	0.012995	0.16423	0.00011518	0.022159	-0.24523	-1.7197	0.088074	0.44985	0.085491	0.99956	-0.045037	-0.31599	0.79151	0.9491	0.75201	0.99993	-0.056501	-0.39643	0.69882	0.93367	0.69179	1	-0.18839	-1.3216	0.17355	0.59212	0.18629	1	-0.12603	-0.8842	0.38406	0.79321	0.37659	0.9992
SBF2_P1P2	5	-0.066887	-0.6113	0.58331	0.89346	0.541	0.99959	0.13784	1.2604	0.37684	0.78378	0.20752	0.99985	-0.00059798	-0.005463	0.88709	0.98836	0.99564	0.99936	-0.11382	-1.0356	0.39821	0.80938	0.30038	0.99956	-0.03854	-0.35225	0.82992	0.96091	0.72465	0.99993	-0.039921	-0.36502	0.78573	0.95812	0.7151	1	0.0020868	0.019064	0.98787	0.99592	0.98479	1	0.036618	0.33476	0.80104	0.95853	0.7378	0.9992
TBC1D4_P1P2	5	0.022824	0.098768	0.99942	0.99971	0.92132	0.99959	-0.14053	-0.60763	0.32948	0.75406	0.54343	0.99985	-0.084458	-0.36479	0.58215	0.9164	0.71527	0.96362	-0.14329	-0.61657	0.29396	0.72211	0.53752	0.99956	-0.32815	-1.4169	0.040139	0.29263	0.15652	0.99993	-0.172	-0.74418	0.20445	0.60598	0.45677	1	-0.23104	-0.99699	0.097892	0.44547	0.31877	1	-0.14908	-0.64454	0.30407	0.72677	0.51923	0.9992
HMGB1_P2	5	0.13979	0.6304	0.47156	0.85947	0.52843	0.99959	0.12688	0.57224	0.41669	0.8075	0.56716	0.99985	0.11187	0.5037	0.71152	0.96302	0.61447	0.93689	0.28859	1.2936	0.059775	0.39024	0.19581	0.99956	-0.0084716	-0.038163	0.9922	0.99971	0.96956	0.99993	0.0094862	0.04279	0.93041	0.98804	0.96587	1	-0.030645	-0.13782	0.78978	0.95497	0.89038	1	0.29384	1.3265	0.039272	0.25856	0.18468	0.9992
KANSL3_P1P2	5	0.44268	1.7569	0.012417	0.12874	0.078928	0.99092	-0.16406	-0.65061	0.25902	0.69419	0.5153	0.99985	-0.39343	-1.5584	0.058908	0.39689	0.11914	0.60405	-0.502	-1.982	0	0	0.047476	0.99956	-0.1308	-0.51869	0.38175	0.77726	0.60397	0.99993	-0.72775	-2.8829	0	0	0.0039399	1	0.43547	1.7279	0.0023101	0.027119	0.083998	1	-0.4488	-1.7785	0.0031764	0.038062	0.075315	0.9992
GTF3A_P1P2	5	-0.0090991	-0.06511	0.83887	0.96963	0.94809	0.99959	-0.013736	-0.098295	0.92492	0.98954	0.9217	0.99985	0.029031	0.20771	0.99538	0.99913	0.83546	0.98355	-0.18899	-1.3501	0.17904	0.61485	0.17697	0.99956	-0.094729	-0.67779	0.53335	0.84446	0.49791	0.99993	-0.35417	-2.5339	0.010107	0.10802	0.01128	1	-0.11944	-0.85437	0.37078	0.74277	0.3929	1	-0.18032	-1.2901	0.21167	0.62277	0.19701	0.9992
ZNF430_P1P2	5	0.11601	0.76862	0.56656	0.88959	0.44212	0.99959	0.22657	1.5023	0.1646	0.57315	0.13302	0.99985	0.069538	0.45989	0.85937	0.98836	0.6456	0.94705	-0.20882	-1.3654	0.13832	0.55376	0.17212	0.99956	-0.067959	-0.44964	0.6734	0.90704	0.65297	0.99993	0.01941	0.12866	0.86486	0.97335	0.89763	1	0.033197	0.21948	0.82703	0.96953	0.82627	1	0.015835	0.10486	0.92348	0.99194	0.91649	0.9992
ZNF574_P2	5	0.12016	0.71203	0.55068	0.88341	0.47645	0.99959	-0.10124	-0.59807	0.47618	0.8409	0.5498	0.99985	0.036486	0.21524	0.9795	0.99648	0.82958	0.98355	-0.0042442	-0.024754	0.93012	0.98723	0.98025	0.99956	0.091198	0.5401	0.49552	0.825	0.58913	0.99993	0.03208	0.19034	0.79642	0.9593	0.84905	1	0.081756	0.48266	0.55905	0.87365	0.62934	1	0.16835	0.99865	0.23592	0.65465	0.31796	0.9992
ZNF329_P2	5	-0.21298	-1.0284	0.17124	0.59639	0.30378	0.99092	-0.12525	-0.60563	0.38262	0.78639	0.54476	0.99985	-0.44963	-2.1566	0.034652	0.30123	0.031035	0.38522	-0.21058	-1.0012	0.13514	0.55297	0.31671	0.99956	-0.075443	-0.36486	0.63846	0.89514	0.71521	0.99993	-0.14898	-0.72138	0.27317	0.67371	0.47068	1	-0.25258	-1.2154	0.075079	0.38609	0.2242	1	0.048005	0.23256	0.74473	0.93682	0.8161	0.9992
XCL1_P1P2	5	0.22327	1.0817	0.21773	0.66871	0.27939	0.99092	0.17383	0.84193	0.27288	0.70365	0.39983	0.99985	0.058958	0.28422	0.89778	0.98836	0.77624	0.97156	0.06839	0.3263	0.67658	0.92617	0.7442	0.99956	0.19074	0.9236	0.16864	0.584	0.35569	0.99993	0.11563	0.56065	0.38406	0.76218	0.57503	1	0.1418	0.6844	0.29772	0.69465	0.49372	1	0.17142	0.83019	0.22668	0.64239	0.40643	0.9992
HMX1_P1P2	5	0.075385	0.40716	0.74964	0.94889	0.68389	0.99959	0.09426	0.50912	0.54548	0.87564	0.61067	0.99985	0.067185	0.36282	0.86717	0.98836	0.71674	0.96362	0.33228	1.7937	0.036962	0.31683	0.072861	0.99956	0.011243	0.060724	0.89951	0.98546	0.95158	0.99993	0.15775	0.85213	0.24459	0.65204	0.39414	1	0.1252	0.67616	0.35605	0.73908	0.49894	1	0.33787	1.8252	0.015016	0.13333	0.067976	0.9992
